FID,FLU,FLUDESC,FLUSHRTDEC,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
479,7,Medium Density Restricted Commercial,Med D. Rest Com,924404.022003,7960.24151173,106276.296875,2693.99535534712
480,14,Public Parks and Recreation,Recreation,7089119.27026,10377.6188523,815765.490234375,3520.43213202498
481,7,Medium Density Restricted Commercial,Med D. Rest Com,318459.400482,2632.24302188,36646.375,893.108253649665
482,7,Medium Density Restricted Commercial,Med D. Rest Com,131270.484985,1650.53580014,15103.525390625,560.283477878418
483,8,Restricted Commercial,Restricted Com.,2051451.10883,16063.1912726,235857.81640625,5444.13043546868
484,12,Light Industrial,Light Industria,567011.185516,4209.15963444,65269.40234375,1427.01688647331
485,7,Medium Density Restricted Commercial,Med D. Rest Com,556223.294861,3537.0558289,64027.20703125,1198.99885230217
486,8,Restricted Commercial,Restricted Com.,227095.111115,2011.95992204,26134.494140625,681.947693530467
487,12,Light Industrial,Light Industria,872008.074066,6038.86028733,100349.490234375,2044.26966975848
488,12,Light Industrial,Light Industria,108357.19986,1998.70252177,12470.078125,679.350760736741
489,7,Medium Density Restricted Commercial,Med D. Rest Com,693743.496124,3848.90269651,79825.19921875,1304.57722111142
490,12,Light Industrial,Light Industria,140333.117859,1918.8477291,16147.55078125,649.796850660186
491,7,Medium Density Restricted Commercial,Med D. Rest Com,345213.265778,2434.55362633,39721.458984375,826.078426070209
492,7,Medium Density Restricted Commercial,Med D. Rest Com,1844531.06931,7949.01177132,212265.53125,2693.17966655308
493,7,Medium Density Restricted Commercial,Med D. Rest Com,745264.853821,4941.43002408,85758.328125,1675.43330348965
494,7,Medium Density Restricted Commercial,Med D. Rest Com,31257.3764648,724.441106944,3596.419921875,245.87558124633
495,7,Medium Density Restricted Commercial,Med D. Rest Com,81417.3713989,1224.59692115,9367.892578125,415.697965748276
496,12,Light Industrial,Light Industria,22443.2120972,665.397838524,2582.513671875,225.678672651753
497,8,Restricted Commercial,Restricted Com.,1386814.16208,8698.75647955,159579.5390625,2954.66970219059
498,7,Medium Density Restricted Commercial,Med D. Rest Com,115684.330017,1639.84442983,13311.015625,557.115830194544
499,8,Restricted Commercial,Restricted Com.,2438398.22156,10146.4271959,280584.6640625,3445.47465256585
500,6,Low Density Restricted Commercial,Low D. Rest Com,313169.328461,2348.67354576,36042.3125,796.469539109642
501,7,Medium Density Restricted Commercial,Med D. Rest Com,174173.287964,1715.71213908,20045.42578125,582.341662409391
502,12,Light Industrial,Light Industria,28656.5200806,713.36573437,3298.740234375,242.126438079071
503,12,Light Industrial,Light Industria,467105.931702,3601.35589638,53767.65234375,1220.24829725478
504,12,Light Industrial,Light Industria,438383.527405,3653.73577291,50456.822265625,1237.96207959228
505,12,Light Industrial,Light Industria,274579.650482,2109.60857636,31603.138671875,715.676108758417
506,7,Medium Density Restricted Commercial,Med D. Rest Com,246391.042908,2282.42735394,28358.775390625,773.480608952617
507,6,Low Density Restricted Commercial,Low D. Rest Com,375842.49234,3940.28866924,43256.408203125,1338.20995848634
508,7,Medium Density Restricted Commercial,Med D. Rest Com,685557.272461,6323.07675704,78905.14453125,2143.4319382323
509,6,Low Density Restricted Commercial,Low D. Rest Com,233526.493896,2068.01782716,26877.99609375,701.010396467787
510,3,Low Density Multifamily Residential,Low D. MF Res,186993.772217,1925.29603489,21524.19140625,653.95995542945
511,12,Light Industrial,Light Industria,450965.843475,2686.20384128,51901.546875,911.307312919573
512,12,Light Industrial,Light Industria,260624.657715,2199.89611387,29998.001953125,746.802041082106
513,12,Light Industrial,Light Industria,185798.691223,1774.88477307,21394.732421875,602.702110841291
514,3,Low Density Multifamily Residential,Low D. MF Res,74532.4333496,1344.54764462,8582.486328125,455.540065869698
515,6,Low Density Restricted Commercial,Low D. Rest Com,301070.537628,3070.5823392,34665.830078125,1043.40183676587
516,7,Medium Density Restricted Commercial,Med D. Rest Com,606664.294189,3398.24926059,69865.9296875,1152.00388463788
517,7,Medium Density Restricted Commercial,Med D. Rest Com,694261.657043,5510.57486154,79950.65625,1873.98795911174
518,12,Light Industrial,Light Industria,1332110.23627,8329.51827702,153413.61328125,2826.15467695101
519,6,Low Density Restricted Commercial,Low D. Rest Com,72157.867981,1291.47688542,8301.00390625,438.696319646264
520,12,Light Industrial,Light Industria,1355901.77274,6194.17611865,155968.490234375,2104.21683189911
521,7,Medium Density Restricted Commercial,Med D. Rest Com,1061123.56058,8305.06214592,122068.947265625,2810.51743867057
522,6,Low Density Restricted Commercial,Low D. Rest Com,51394.6053772,1026.04902958,5912.208984375,348.445474201508
523,7,Medium Density Restricted Commercial,Med D. Rest Com,699400.513306,5040.92853354,80463.107421875,1710.72021410946
524,7,Medium Density Restricted Commercial,Med D. Rest Com,900943.79306,5879.10679752,103642.62890625,1991.2492376517
525,7,Medium Density Restricted Commercial,Med D. Rest Com,796587.678101,6139.56054658,91643.046875,2085.19302522193
526,6,Low Density Restricted Commercial,Low D. Rest Com,25528.2784729,659.726470884,2936.75390625,223.625118874941
527,7,Medium Density Restricted Commercial,Med D. Rest Com,506094.727783,4026.42309055,58220.19921875,1363.69070133078
528,6,Low Density Restricted Commercial,Low D. Rest Com,76231.9647827,1284.69333735,8770.52734375,435.149922483543
529,7,Medium Density Restricted Commercial,Med D. Rest Com,430284.512573,3878.93413285,49495.548828125,1317.40590088708
530,6,Low Density Restricted Commercial,Low D. Rest Com,70381.7058716,1320.19237398,8095.626953125,447.024743632255
531,6,Low Density Restricted Commercial,Low D. Rest Com,58735.8625488,1205.49194218,6756.046875,408.189812003847
532,6,Low Density Restricted Commercial,Low D. Rest Com,53782.8060608,1111.86172464,6186.3359375,376.533786067373
533,3,Low Density Multifamily Residential,Low D. MF Res,77666.6434021,1582.79884531,8933.603515625,535.784822388734
534,6,Low Density Restricted Commercial,Low D. Rest Com,86223.5900879,1576.71189123,9918.958984375,533.804768698043
535,9,General Commercial,General Com.,192459.353607,1908.99594629,22137.669921875,646.748918871738
536,7,Medium Density Restricted Commercial,Med D. Rest Com,109790.663635,1692.9024979,12628.58984375,573.468627318089
537,12,Light Industrial,Light Industria,1393823.19427,4994.13366276,160356,1695.23093950789
538,6,Low Density Restricted Commercial,Low D. Rest Com,50746.9716492,1056.14066748,5838.4765625,357.726799784294
539,6,Low Density Restricted Commercial,Low D. Rest Com,23305.3442993,618.182923999,2681.296875,209.596536920565
540,8,Restricted Commercial,Restricted Com.,23298001.2117,144528.789428,2680201.44140625,49004.536919049
541,6,Low Density Restricted Commercial,Low D. Rest Com,83971.5678711,1356.8019761,9659.787109375,459.536865283742
542,7,Medium Density Restricted Commercial,Med D. Rest Com,74069.2009888,1088.3647599,8520.826171875,369.166963349448
543,6,Low Density Restricted Commercial,Low D. Rest Com,29686.2798767,689.128815393,3414.98828125,233.722055984414
544,6,Low Density Restricted Commercial,Low D. Rest Com,130216.793457,2578.95564131,14982.171875,876.699202642336
545,6,Low Density Restricted Commercial,Low D. Rest Com,190661.673157,2644.16611672,21936.71484375,898.721478980062
546,7,Medium Density Restricted Commercial,Med D. Rest Com,98568.1413879,1256.90927003,11340.357421875,426.300179256656
547,7,Medium Density Restricted Commercial,Med D. Rest Com,1338690.431,9881.0647907,153999.59765625,3347.52345702977
548,6,Low Density Restricted Commercial,Low D. Rest Com,122827.825317,2399.74973414,14130.35546875,815.430941152984
549,7,Medium Density Restricted Commercial,Med D. Rest Com,30925.0812683,825.068026279,3557.18359375,279.825669607201
